,Word,Count
0,netflix,1074
1,on,717
2,the,710
3,i,585
4,to,516
5,and,500
6,a,410
7,is,384
8,@netflix,312
9,you,299
10,of,298
11,it,249
12,in,235
13,for,211
14,this,198
15,watch,190
16,my,189
17,that,175
18,just,134
19,watching,132
20,so,126
21,was,123
22,me,115
23,with,112
24,have,111
25,but,108
26,if,107
27,be,104
28,netflix.,96
29,good,90
30,are,89
31,they,86
32,all,86
33,up,83
34,show,82
36,i’m,80
37,what,80
35,not,80
38,season,78
39,like,78
40,new,76
41,from,75
42,one,73
43,think,69
44,should,68
45,watched,68
46,series,68
47,can,66
48,how,65
49,when,64
50,it’s,63
51,"netflix,",62
52,now,62
53,or,60
54,at,59
55,will,59
56,do,58
57,about,55
58,into,54
59,we,54
62,#netflix,53
61,movie,53
60,get,53
63,&amp;,52
64,out,52
65,it's,48
66,your,48
67,-,47
68,has,47
69,no,47
70,original,46
75,content,44
74,more,44
73,netflix?,44
72,would,44
71,an,44
76,know,43
77,time,43
78,shows,42
79,laughs,42
80,deranged,42
81,see,42
82,brings,42
83,need,42
86,2,41
85,‘i,41
84,leave’,41
87,been,40
88,best,39
89,i'm,39
90,because,39
91,got,39
92,by,38
93,as,38
94,really,38
95,podcast:,36
97,day,35
98,some,35
96,why,35
99,only,33
100,who,32
101,love,32
102,want,32
103,never,32
104,things,32
105,movies,31
109,going,29
110,please,29
108,go,29
107,am,29
106,3,29
111,seen,28
112,great,28
113,back,28
114,still,27
115,much,27
116,there,27
119,office,26
120,he,26
121,chill,26
118,than,26
117,had,26
122,its,25
123,could,25
124,then,24
125,first,24
126,us,24
131,our,23
135,don’t,23
134,any,23
133,put,23
132,did,23
130,account,23
129,someone,23
128,his,23
127,documentary,23
136,too,22
137,here,22
138,their,22
139,stranger,22
140,last,22
146,over,21
148,every,21
147,finally,21
145,tv,21
141,mike,21
143,lol,21
142,film,21
144,@hulu,21
153,epps,20
157,wanna,20
156,make,20
154,also,20
158,i’ve,20
152,already,20
151,hulu,20
