,Word,Count
0,netflix,951
1,the,769
2,on,674
3,i,587
4,to,476
5,@netflix,444
6,and,441
7,a,415
8,is,403
9,of,292
10,it,249
11,you,238
12,for,206
13,my,192
14,in,188
15,watch,188
16,this,167
17,that,163
18,so,154
19,watching,146
20,just,134
21,have,130
22,season,121
23,me,112
24,but,111
25,was,106
26,show,105
27,with,104
28,@mariahcarey,99
29,are,97
30,good,94
31,if,93
32,they,92
33,not,91
34,all,90
35,like,88
36,be,85
37,we,84
38,i’m,77
39,@trekonomicsbot,76
40,@jordanb39335071,75
41,about,74
42,@dumbledorejr,72
43,@c_marb,69
44,what,69
45,as,68
46,movie,67
47,or,66
48,out,65
49,@nihilusshadow,64
50,need,64
51,love,64
52,netflix.,64
53,when,63
54,has,63
55,watched,63
56,can,61
59,@vespasianfk,60
57,it’s,60
58,@originalsorotia,60
60,series,58
61,how,58
62,one,56
63,now,56
64,up,56
65,some,54
66,new,54
67,get,53
68,&amp;,52
69,from,51
70,it's,51
71,your,51
72,see,51
73,really,50
74,"netflix,",50
75,been,49
76,no,48
77,shows,47
78,at,47
79,do,46
80,-,45
81,#netflix,45
82,@stelzi79,45
83,2,45
84,netflix?,44
85,evangelion,43
86,don’t,43
87,@williamwehrs…,43
88,time,43
89,i'm,43
90,only,42
91,will,41
92,dark,41
93,go,40
95,know,40
94,got,40
96,an,38
97,movies,38
98,why,37
99,seen,36
100,want,36
101,after,35
102,more,34
103,#lucifer,33
104,#luciferseason6,33
105,still,33
106,back,33
107,best,32
108,tv,32
109,who,32
110,should,32
112,3,31
113,@stelzi79…,31
111,any,31
114,anyone,30
115,beats,30
116,off,30
117,would,30
118,because,30
119,into,29
120,by,29
121,there,28
122,last,28
123,please,28
127,amazon,27
129,us,27
128,@fluffyguy,27
124,am,27
126,did,27
125,had,27
130,finished,26
131,@startrekot,26
138,binge,25
137,their,25
135,where,25
136,going,25
134,first,25
132,even,25
133,episodes,25
139,great,24
140,being,24
141,1,24
142,people,24
143,original,23
144,much,23
145,right,23
146,netflix's,23
151,episode,22
153,put,22
152,it.,22
149,day,22
150,also,22
148,she,22
147,gonna,22
154,than,21
155,then,21
156,here,21
157,shit,21
164,?,20
168,its,20
167,very,20
166,her,20
165,think,20
